,confidence_power,imputed pseudocluster,conf_bool,conf_scores
5_18_1260829,0.557,0.27567875071730114,True,0.008285654473337511
5_18_1260839,0.883,0.42118421991888133,True,0.06778839981830409
5_18_1260842,0.837,0.28199714379492374,True,0.05570186879964423
5_18_1260849,0.92,0.345365860502921,True,0.07870413677371224
5_18_1260866,0.843,0.24424557773950828,True,0.05724120693054546
5_18_1260911,0.983,0.3276839910708344,True,0.12483648401238412
5_18_1260913,0.323,0.4006014415260435,False,-0.026734598813074495
5_18_1260918,0.685,0.45357934192594923,True,0.026503003250618273
5_18_1260921,0.782,0.359279722586359,True,0.041695390174716795
5_18_1260933,0.298,0.32805105283204994,False,-0.030473456888738815
5_18_1260944,0.972,0.2409467310347266,True,0.11288612114568397
5_18_1260962,0.796,0.39178765187548653,True,0.0444104420878102
5_18_1260968,0.94,0.43707765877353716,True,0.08642887204266392
5_18_1261010,0.836,0.45611383508067,True,0.05555938132845972
5_18_1261023,0.991,0.41176576412676474,True,0.13800455024490388
5_18_1261041,0.293,0.7122287549457517,False,-0.030761565377548594
5_18_1261049,0.936,0.4286362894345381,True,0.08472210547519987
5_18_1261083,0.71,0.2947066028721814,True,0.030087068781460724
5_18_1261195,0.838,0.23075100757686015,True,0.05634434215071826
5_18_1281049,0.649,0.47257663625452995,True,0.021480813974920743
5_18_1281162,0.654,0.2735578660360929,True,0.02257163454995037
5_18_1281179,0.92,0.46471586866060693,True,0.07861694002898423
5_18_1281327,0.91,0.7671588358148835,True,0.07574003637577353
5_18_1281482,0.991,0.24727340702096692,True,0.1373437693895072
5_18_1281495,0.547,0.2966361092468963,True,0.006107077514631021
5_18_1281514,0.359,0.2889583226053601,False,-0.02054219137071045
5_18_1281526,0.476,0.3156157353336755,False,-0.0029744184869311407
5_18_1281548,0.794,0.3996590957363095,True,0.04403645689760782
5_18_1281549,0.389,0.43403029871718707,False,-0.015308679702073169
5_18_1281559,0.655,0.43802551049520605,True,0.02273153366971492
5_18_1281560,0.94,0.4256901008756071,True,0.08629426461909195
5_18_1281582,0.838,0.25144481623708703,True,0.056246544500380025
5_18_1281593,0.79,0.2714411628076199,True,0.04291488678299238
5_18_1281629,0.752,0.2535223633181683,True,0.03686825339543898
5_18_1281637,0.903,0.19197955134765674,True,0.07448581241808205
5_18_1281649,0.608,0.39498914814676994,True,0.014565724895048926
5_18_1281654,0.322,0.28583818318223414,False,-0.027112203764784182
5_18_1281656,0.848,0.37377340815941235,True,0.058971800919819906
5_18_1281672,0.379,0.30134548660763394,False,-0.01678733256097442
5_18_1281676,0.599,0.38562847185134713,True,0.013327721043998264
5_18_1281694,0.87,0.4539293383630726,True,0.06320366533626276
5_18_1281716,0.177,0.330865781344175,False,-0.051216492313616024
5_18_1281732,0.056,0.43016568057895843,False,-0.09091364559028703
5_18_1281739,0.697,0.38789696232604937,True,0.02852405571050065
5_18_1281754,0.202,0.40035671412545465,False,-0.04705821388041209
5_18_1281793,0.933,0.3953816045773738,True,0.0821493823456142
5_18_1281832,0.881,0.357160186531959,True,0.06711753837120649
5_18_1281836,0.889,0.23814718039274285,True,0.06949378796484429
5_18_1281872,0.945,0.2729026812169575,True,0.09176219629886428
5_18_1281878,0.77,0.30250495025147706,True,0.03957788628748449
5_18_1282278,0.249,0.1990112310269988,False,-0.03773736404604411
5_18_1290163,0.334,0.1947462397233015,False,-0.0250910957910222
5_18_1361874,0.868,0.20567905441993145,True,0.06262394803890547
5_18_1361898,0.923,0.3391034445395545,True,0.07927435307974506
5_18_1370083,0.867,0.33016961270863937,True,0.06243723171378446
5_18_1391139,0.863,0.4030801530469264,True,0.061704896333393267
5_18_1391155,0.436,0.22406517416015867,False,-0.009281536877860486
5_18_1391162,0.445,0.20221684299937417,False,-0.0077089957025553435
5_18_1391382,0.9,0.3108432465932242,True,0.07349750024347756
5_18_1400233,0.875,0.2819362322903532,True,0.06487004086250026
5_18_1400264,0.968,0.2165630254134545,True,0.10647609150498494
5_18_1470619,0.249,0.24910614536537593,False,-0.037852569944366365
